Headline,Source,Issue date,URL,Summary
Estee Lauder: Short-Term Pains Cloud Entries Now,SeekingAlpha,2025-05-20 06:27:43,https://finnhub.io/api/news?id=7dd37713fb3ddf148e57c892f63500a4956d96bde1d0d6f8b6fb6aed407c18c5,"EstÃ©e Lauder trades at a rare discount due to China demand and travel retail weakness, but its premium brand moat remains intact. Read why I rate EL as a hold."
Estée Lauder: No Sign Of Recovery In Sight,SeekingAlpha,2025-05-19 07:00:00,https://finnhub.io/api/news?id=31e3c8fa89827d89e2880c4adca32557bb164f78442db65836fcc3a463b20146,
"'Big Short' investor Michael Burry reduces position in Chinese tech, doubles stake in Estée Lauder",Finnhub,2025-05-19 02:01:21,https://finnhub.io/api/news?id=08814d5da05887decaf657d91f798964a9acd99aa4837a36ac0e702b03f06113,"Copyright © BusinessAMBE 2023Key takeawaysMichael Burry reduced his portfolio from 13 to 7 stocks.He bought bearish put options on several Chinese technology companies, including Alibaba and..."
"Michael Burry Buys Puts on NVDA, BABA and Baidu",Yahoo,2025-05-16 20:19:50,https://finnhub.io/api/news?id=458602c2f545a01be38c3e6b5f4b68115ec9463a79a825f6fe563c2e2060e6d7,"Burry's firm cuts holdings to seven, bets on tech decline while doubling EL stake"
"Quantum Computing profit, Michael Burry's stake in Estée Lauder",Yahoo,2025-05-16 16:14:32,https://finnhub.io/api/news?id=08254bd43c34ca4aff129d9cd6c177efe2d92ebe4f505f99b503f3fb11e5dc78,"Yahoo Finance host Brad Smith tracks today's top moving stocks and biggest market stories in this Market Minute, including Quantum Computing (QUBT) reporting a profit in its first quarter results while Michael Burry's Scion Asset Management doubles its stake in Estée Lauder (EL). Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute."
'Big Short' investor Michael Burry doubles stake in cosmetics maker Estee Lauder,Yahoo,2025-05-16 16:11:43,https://finnhub.io/api/news?id=62aa84dba93b38c5bf121f571c57ac5557bb0186b0d90b48a54581a3ab04699a,"(Reuters) -Michael Burry's Scion Asset Management has doubled its stake in Estee Lauder, at a time when the beauty giant's new CEO is steering the company through a transformation to overcome weak demand in key markets such as North America and China.  ""Burry's bet suggests belief in Estee Lauder's ability to reclaim its status as a beauty powerhouse in an increasingly competitive global market,"" said Angeli Gianchandani, a global brand marketing expert at New York University.  Since joining the company in January, Estee CEO Stephane de La Faverie has ramped up product launches and introduced new luxury price tiers in an attempt to revive demand after several quarters of slow growth."
Deals of the day-Mergers and acquisitions,Finnhub,2025-05-16 16:07:11,https://finnhub.io/api/news?id=2ce7fabe9330dd498bdc35a4e43abbb008e669d6abacc05f25b3ebaac8dd3302,"The following bids, mergers,acquisitions and disposals were reported by 2000 GMT on Friday: ** Michael Burry's Scion Asset Management has doubled itsstake in Estee..."
"Michael Burry bets against Nvidia, Chinese stocks via put options",Yahoo,2025-05-16 14:44:16,https://finnhub.io/api/news?id=97c7b741b97d11b252acf34afbd7991322193c8c58513af58ceb1c720d85e6e3,"Hedge fund manager — and founder of Scion Asset Management — Michael Burry has bought put options against chipmaker (NVDA) and Chinese web stocks JD.com (JD), Temu parent Baidu (BIDU), and Alibaba (BABA), according to the latest 13F filings. Catalysts host Madison Mills speaks more on Burry's firm's holdings and Nvidia increasing its stake in CoreWeave (CRWV). Also catch what Warren Buffett's Berkshire Hathaway (BRK-B, BRK-A) has bought and sold recently. To watch more expert insights and analysis on the latest market action, check out more Catalysts here."
Origins Launches in the U.S. Amazon Premium Beauty Store,Yahoo,2025-05-16 13:00:00,https://finnhub.io/api/news?id=cfd54d095466560f0b976e65a2958ea5affd486f8167819f5144747ac7eadba9,"NEW YORK, May 16, 2025--Origins, with over 30 years of expertise in combining naturally-derived and scientifically crafted ingredients for powerful skincare, announced its official debut in the U.S. Amazon Premium Beauty store today. Origins will offer its iconic skincare and body care products along with giftable sets that are perfect for any occasion. Origins will now bring naturally-derived, effective beauty to Amazon customers nationwide with convenience and thoughtful gifting in mind."
Michael Burry's Strategic Exit from Alibaba Group Holding Ltd: A 16.42% Portfolio Impact,Yahoo,2025-05-15 23:32:45,https://finnhub.io/api/news?id=172944fc7fabf93a883be9981292ec84c210187d5c6f5f1740dc821f40b7eacf,Analyzing the First Quarter 2025 Moves of a Renowned Value Investor
