Headline,Source,Issue date,URL,Summary
China accuses US of 'abusing' export control measures in Huawei AI chip curb,Finnhub,2025-05-15 05:10:10,https://finnhub.io/api/news?id=6344b73644e0947919d1cd9828f3a17b92589cf1cdb88ba5f0607cb9acf1b15d,BEIJING -China on Thursday accused the United States of abusing export control measures and urged Washington to correct its practices after the U.S. issued guidance warning companies not to use...
Ives: Middle East Ahead of China in Acquiring AI Chips,Finnhub,2025-05-15 05:06:18,https://finnhub.io/api/news?id=d6b41ca6bb01215c3ab6cd6ec0701626514db94a4be7eda598269030e00d9e0a,"The Trump administration is clearing a path for Saudi Arabia and the United Arab Emirates to pursue their artificial intelligence ambitions. Under new agreements with the US, the two nations will..."
AI Diffusion Rule Rescinded: Tech Giants Impacted,SeekingAlpha,2025-05-15 05:00:00,https://finnhub.io/api/news?id=8181746d242b3098b6c46b1c0108544a1ed6f21d1149031d660bf00116d55021,This article will examine how the chipmakers compare in terms of Quant Factor Grades and how TSMâs more compelling valuation could be a key attractor to investors.
Palantir: What The Bears Keep Missing,SeekingAlpha,2025-05-15 04:34:15,https://finnhub.io/api/news?id=d1f9ffc25c87eabf9f2fc4efe702ab6c47c329f07c0743e39ee7ade042ed9827,
AI Is The New Oil,SeekingAlpha,2025-05-15 01:40:00,https://finnhub.io/api/news?id=8b0a6bafd25e8dc7506244f15d2e610639d99e76310b27d69610c4ab9edbf710,"Wall Street split the difference Wednesday, as AI rode a sovereign wave and small caps got swept out to sea."
BlackRock Advantage Large Cap Core V.I. Fund Q1 2025 Commentary,SeekingAlpha,2025-05-15 01:16:00,https://finnhub.io/api/news?id=ac328970a499d786ed3fca46eb9898e35d357c91f8f798b02461053b094bf45f,BlackRock Advantage Large Cap Core V.I. Fund posted a return of -5.47% (Class I shares) for the first quarter of 2025. Read more here.
"Taiwan's Computex to showcase AI advances, Nvidia's Huang to take centre stage",Yahoo,2025-05-15 00:04:20,https://finnhub.io/api/news?id=036a49a316196a552216ca75d372ec7cf624603a6d45fe468f9ccb089169c26f,"At Taiwan's annual Computex trade show next week, the spotlight is expected to fall, once again, on Nvidia CEO Jensen Huang and the latest in artificial intelligence, but also on the potential destablising impact of higher U.S. tariffs.  Huang, who last year sparked ""Jensanity"" from avid fans at the fair, Qualcomm CEO Cristiano Amon and Foxconn Chairman Young Liu will be among top executives attending.  Computex, which runs May 20-23 and is expected to have 1,400 exhibitors, marks the first major gathering of computer and chip bosses in Asia since U.S. President Donald Trump threatened sweeping reciprocal tariffs in April, pushing companies to produce more in the United States."
"Boeing, GE Aerospace Get Qatar Airways Order After Saudi AI Tech Deals",Yahoo,2025-05-14 22:23:00,https://finnhub.io/api/news?id=e5e0d4ce8119391c93e5519611a45babcf152ce8649b85c474e515f5f7b0018d,"Boeing  and  GE Aerospace  received a $96 billion order from Qatar Airways as President Trump looks to boost investments in defense and aircraft in the Middle East after reaching artificial intelligence and tech agreements on Tuesday.  The order, announced Wednesday, includes up to 210 American-made Boeing 787 Dreamliners and 777X aircraft and more than 400 GEnx and GE9X engines from GE Aerospace.  In separate releases, the companies said the agreement marks Boeing’s largest orders for widebody and 787 models to date, GE Aerospace’s biggest widebody engine order and Qatar Airway’s largest aircraft order in its history."
Sovereign AI Is the Next Big Trend in Tech. What Investors Need to Know.,Yahoo,2025-05-14 21:34:00,https://finnhub.io/api/news?id=1ba5b4f604988f322181c7287d3e16e7032a674a8539ed41805d779653e8f5d7,"Countries around the world want to secure their AI future. It’s a $50 billion opportunity for Nvidia, AMD, and other firms."
"Mag 7 gains, fairly valued market, risk: Trading Takeaways",Yahoo,2025-05-14 21:15:43,https://finnhub.io/api/news?id=95e22eda78dea78866b63b80a10a523e4eeb68337d7e593f694a22f4afd77328,"AI chip stocks are pushing the tech rally higher, much to the benefit of the Nasdaq Composite index (^IXIC). Yahoo Finance markets reporter Josh Schafer lays out several of the session's key trading themes, including the serious upside Magnificent Seven stock — comprised of tech leaders Meta Platforms (META), Microsoft (MSFT), Alphabet (GOOGL, GOOG), Amazon (AMZN), Apple (AAPL), Nvidia (NVDA), Tesla (TSLA) — are seeing. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here."
Nvidia-Backed CoreWeave's Stock Jumps on AI-Driven Growth in First Report Since IPO,Yahoo,2025-05-14 21:15:34,https://finnhub.io/api/news?id=5964ec8406a6b06332120445eeec66068f6cc514be631e35f39614c48f52323a,"CoreWeave reported first-quarter revenue that grew over 400% year-over-year, sending shares higher in extended trading Wednesday."
Foxconn Cuts 2025 Outlook Despite 91% Profit Surge,Yahoo,2025-05-14 21:10:52,https://finnhub.io/api/news?id=69a111e5d114e21a5ab0f92066abe43bd9f29fed6fc2cc03e73adc58c5a211a4,"Currency appreciation, tariffs cloud AI-driven growth optimism"
