Headline,Source,Issue date,URL,Summary
Ketchup maker Kraft Heinz investing $3 billion upgrading U.S. manufacturing: Reuters,CNBC,2025-05-14 11:53:19,https://www.cnbc.com/2025/05/14/ketchup-maker-kraft-heinz-investing-3-billion-upgrading-us-manufacturing.html,"The upgrades will help lower costs by making the plants more efficient, which in turn may help offset President Donald Trump's tariffs."
Sony warns this year’s profit won’t grow at all due to tariffs,MarketWatch,2025-05-14 08:30:00,https://www.marketwatch.com/story/sony-warns-this-years-profit-wont-grow-at-all-due-to-tariffs-70db3ac7,Japanese consumer electronics giant Sony warned on Wednesday that this year’s profits won’t grow at all because of tariffs.
How Trump’s tariffs are ending the American century and boosting China’s power,MarketWatch,2025-05-13 18:10:00,https://www.marketwatch.com/story/how-trumps-tariffs-are-ending-the-american-century-and-boosting-chinas-power-d1334919,The Geneva trade negotiations mark the beginning of China-Asia dominance in world affairs.
Trump should aim for zero tariffs. It could usher in a golden age for Americans.,MarketWatch,2025-05-13 16:22:00,https://www.marketwatch.com/story/trump-should-aim-for-zero-tariffs-itcould-usher-in-a-golden-age-for-americans-eb4d4589,How “tariff zero” would expand opportunities for American exporters and help U.S. companies sell to the world.
"Hertz shares plummet after company's disappointing first-quarter results, $250 million stock offering",CNBC,2025-05-13 15:55:55,https://www.cnbc.com/2025/05/13/hertz-htz-q1-earnings-2025-stock-offering.html,Shares of Hertz plummeted Tuesday morning following the company reporting disappointing first-quarter earnings and fleet cuts amid slower bookings and tariffs.
"Consumer prices show mild increase, but trade wars likely to add to inflation despite reduced tariffs",MarketWatch,2025-05-13 12:38:00,https://www.marketwatch.com/story/consumer-prices-post-mild-increase-in-april-but-trade-wars-likely-to-add-to-inflation-despite-reduced-tariffs-32757558,"U.S. inflation rate slows to 2.3%, CPI shows. Smallest increase since 2021."
These 10 tech stocks could benefit most from softening U.S.-China tariffs,MarketWatch,2025-05-12 23:05:00,https://www.marketwatch.com/story/these-10-tech-stocks-could-benefit-most-from-softening-u-s-china-tariffs-80042a86,"While investors will be more positive on the sector overall, Apple and Dell are among the tech companies that could see particular relief from recent developments."
Why the stock market is going to love higher U.S. tariffs on China,MarketWatch,2025-05-12 20:39:00,https://www.marketwatch.com/story/why-the-stock-market-is-going-to-love-higher-u-s-tariffs-on-china-bef112b2,The Trump administration is serious about using tariffs to generate revenue that funds tax cuts.
Consumer prices likely rebounded in April as higher tariffs began to bite,MarketWatch,2025-05-12 20:04:00,https://www.marketwatch.com/story/consumer-prices-likely-rebounded-in-april-as-higher-tariffs-began-to-bite-2fbf34f8,"Consumer prices likely rebounded in April as the first bite to Americans’ pocketbooks started to hit, economists say."
Toy stocks rally after Chinese tariffs slashed to 30%,CNBC,2025-05-12 20:03:20,https://www.cnbc.com/2025/05/12/trump-china-tariffs-toy-stocks.html,"Shares of Mattel, Hasbro, Jakks and Funko rallied on Monday after the U.S. agreed to temporarily reduce tariffs on China."
